'2022/8/11/9:19:41',1.245,0.124,0.154,0.0
'2022/8/11/9:19:42',1.246,0.124,0.155,50.0
'2022/8/11/9:19:43',1.246,0.125,0.156,50.0
'2022/8/11/9:19:44',1.246,0.123,0.153,50.0
'2022/8/11/9:19:45',1.248,0.124,0.155,0.0
'2022/8/11/9:19:46',1.245,0.124,0.154,50.0
'2022/8/11/9:19:47',1.246,0.124,0.155,0.0
'2022/8/11/9:19:48',1.246,0.125,0.156,50.0
'2022/8/11/9:19:49',1.246,0.124,0.155,50.0
'2022/8/11/9:19:50',1.246,0.124,0.155,50.0
'2022/8/11/9:19:51',1.248,0.125,0.156,0.0
'2022/8/11/9:19:52',1.246,0.123,0.153,50.0
'2022/8/11/9:19:53',1.246,0.125,0.156,50.0
'2022/8/11/9:19:54',1.245,0.124,0.154,0.0
'2022/8/11/9:19:55',1.245,0.123,0.153,50.0
'2022/8/11/9:19:56',1.245,0.124,0.154,50.0
'2022/8/11/9:19:57',1.246,0.124,0.155,0.0
'2022/8/11/9:19:58',1.246,0.125,0.156,50.0
'2022/8/11/9:19:59',1.245,0.125,0.156,50.0
'2022/8/11/9:20:0',1.245,0.124,0.154,50.0
'2022/8/11/9:20:1',1.245,0.124,0.154,50.0
'2022/8/11/9:20:3',1.246,0.124,0.155,0.0
'2022/8/11/9:20:4',1.245,0.125,0.156,50.0
'2022/8/11/9:20:5',1.246,0.124,0.155,100.0
'2022/8/11/9:20:6',1.245,0.124,0.154,50.0
'2022/8/11/9:20:7',1.246,0.125,0.156,0.0
'2022/8/11/9:20:8',1.245,0.125,0.156,50.0
'2022/8/11/9:20:9',1.245,0.124,0.154,50.0
'2022/8/11/9:20:10',1.246,0.125,0.156,0.0
'2022/8/11/9:20:11',1.248,0.124,0.155,50.0
'2022/8/11/9:20:12',1.245,0.124,0.154,0.0
'2022/8/11/9:20:13',1.245,0.124,0.154,50.0
'2022/8/11/9:20:14',1.246,0.124,0.155,0.0
'2022/8/11/9:20:15',1.245,0.124,0.154,50.0
'2022/8/11/9:20:16',1.245,0.125,0.156,50.0
'2022/8/11/9:20:17',1.248,0.124,0.155,100.0
'2022/8/11/9:20:18',1.246,0.124,0.155,50.0
'2022/8/11/9:20:19',1.245,0.124,0.154,0.0
'2022/8/11/9:20:21',1.246,0.125,0.156,50.0
'2022/8/11/9:20:22',1.246,0.124,0.155,50.0
'2022/8/11/9:20:23',1.246,0.124,0.155,50.0
'2022/8/11/9:20:24',1.246,0.124,0.155,50.0
'2022/8/11/9:20:25',1.245,0.124,0.154,0.0
'2022/8/11/9:20:26',1.245,0.124,0.154,50.0
'2022/8/11/9:20:27',1.245,0.123,0.153,50.0
'2022/8/11/9:20:28',1.245,0.124,0.154,50.0
'2022/8/11/9:20:29',1.245,0.123,0.153,50.0
'2022/8/11/9:20:30',1.245,0.125,0.156,50.0
'2022/8/11/9:20:31',1.245,0.124,0.154,50.0
'2022/8/11/9:20:32',1.245,0.126,0.157,50.0
'2022/8/11/9:20:33',1.245,0.124,0.154,50.0
'2022/8/11/9:20:34',1.245,0.124,0.154,50.0
'2022/8/11/9:20:35',1.245,0.123,0.153,50.0
'2022/8/11/9:20:36',1.245,0.125,0.156,50.0
'2022/8/11/9:20:37',1.245,0.124,0.154,50.0
'2022/8/11/9:20:38',1.245,0.125,0.156,50.0
'2022/8/11/9:20:39',1.245,0.124,0.154,50.0
'2022/8/11/9:20:40',1.245,0.124,0.154,50.0
'2022/8/11/9:20:42',1.245,0.124,0.154,50.0
'2022/8/11/9:20:43',1.245,0.125,0.156,50.0
'2022/8/11/9:20:44',1.245,0.124,0.154,50.0
'2022/8/11/9:20:45',1.242,0.124,0.154,50.0
'2022/8/11/9:20:46',1.245,0.124,0.154,50.0
'2022/8/11/9:20:47',1.245,0.123,0.153,50.0
'2022/8/11/9:20:48',1.245,0.125,0.156,50.0
'2022/8/11/9:20:49',1.245,0.123,0.153,50.0
'2022/8/11/9:20:50',1.245,0.124,0.154,50.0
'2022/8/11/9:20:51',1.245,0.124,0.154,50.0
'2022/8/11/9:20:52',1.242,0.126,0.156,100.0
'2022/8/11/9:20:53',1.245,0.125,0.156,50.0
'2022/8/11/9:20:54',1.244,0.124,0.154,0.0
'2022/8/11/9:20:55',1.245,0.124,0.154,50.0
'2022/8/11/9:20:56',1.245,0.124,0.154,50.0
'2022/8/11/9:20:57',1.245,0.125,0.156,50.0
'2022/8/11/9:20:58',1.244,0.123,0.153,0.0
'2022/8/11/9:20:59',1.245,0.124,0.154,50.0
'2022/8/11/9:21:0',1.244,0.124,0.154,50.0
'2022/8/11/9:21:1',1.244,0.124,0.154,50.0
'2022/8/11/9:21:2',1.244,0.124,0.154,50.0
'2022/8/11/9:21:3',1.245,0.124,0.154,50.0
'2022/8/11/9:21:4',1.244,0.125,0.155,100.0
'2022/8/11/9:21:6',1.244,0.124,0.154,50.0
'2022/8/11/9:21:7',1.244,0.124,0.154,50.0
'2022/8/11/9:21:8',1.245,0.124,0.154,50.0
'2022/8/11/9:21:9',1.245,0.125,0.156,50.0
'2022/8/11/9:21:10',1.244,0.124,0.154,0.0
'2022/8/11/9:21:11',1.244,0.125,0.155,50.0
'2022/8/11/9:21:12',1.242,0.123,0.153,0.0
'2022/8/11/9:21:13',1.242,0.124,0.154,50.0
'2022/8/11/9:21:14',1.245,0.124,0.154,50.0
'2022/8/11/9:21:15',1.244,0.125,0.155,100.0
'2022/8/11/9:21:16',1.242,0.123,0.153,50.0
'2022/8/11/9:21:17',1.245,0.124,0.154,0.0
'2022/8/11/9:21:18',1.244,0.125,0.155,50.0
'2022/8/11/9:21:19',1.244,0.124,0.154,50.0
'2022/8/11/9:21:20',1.244,0.125,0.155,50.0
'2022/8/11/9:21:21',1.244,0.124,0.154,50.0
'2022/8/11/9:21:22',1.244,0.125,0.155,50.0
'2022/8/11/9:21:23',1.242,0.124,0.154,0.0
'2022/8/11/9:21:24',1.242,0.123,0.153,50.0
'2022/8/11/9:21:25',1.244,0.125,0.155,0.0
'2022/8/11/9:21:26',1.242,0.124,0.154,50.0
'2022/8/11/9:21:27',1.244,0.125,0.155,0.0
'2022/8/11/9:21:29',1.244,0.124,0.154,50.0
'2022/8/11/9:21:30',1.244,0.123,0.153,50.0
'2022/8/11/9:21:31',1.242,0.125,0.155,100.0
'2022/8/11/9:21:32',1.242,0.124,0.154,50.0
'2022/8/11/9:21:33',1.244,0.124,0.154,50.0
'2022/8/11/9:21:34',1.244,0.124,0.154,50.0
'2022/8/11/9:21:35',1.244,0.124,0.154,50.0
'2022/8/11/9:21:36',1.244,0.124,0.154,50.0
'2022/8/11/9:21:37',1.242,0.124,0.154,50.0
'2022/8/11/9:21:38',1.244,0.124,0.154,50.0
'2022/8/11/9:21:39',1.244,0.124,0.154,50.0
'2022/8/11/9:21:40',1.244,0.124,0.154,50.0
'2022/8/11/9:21:41',1.242,0.123,0.153,0.0
'2022/8/11/9:21:42',1.244,0.124,0.154,50.0
'2022/8/11/9:21:43',1.242,0.124,0.154,50.0
'2022/8/11/9:21:44',1.242,0.124,0.154,50.0
'2022/8/11/9:21:45',1.242,0.123,0.153,50.0
'2022/8/11/9:21:46',1.242,0.124,0.154,50.0
'2022/8/11/9:21:47',1.242,0.123,0.153,50.0
'2022/8/11/9:21:48',1.242,0.124,0.154,50.0
'2022/8/11/9:21:49',1.242,0.123,0.153,50.0
'2022/8/11/9:21:50',1.244,0.124,0.154,0.0
'2022/8/11/9:21:51',1.244,0.124,0.154,50.0
'2022/8/11/9:21:53',1.242,0.125,0.155,100.0
'2022/8/11/9:21:54',1.242,0.124,0.154,50.0
'2022/8/11/9:21:55',1.242,0.123,0.153,50.0
'2022/8/11/9:21:56',1.242,0.123,0.153,50.0
'2022/8/11/9:21:57',1.242,0.124,0.154,50.0
'2022/8/11/9:21:58',1.242,0.124,0.154,50.0
'2022/8/11/9:21:59',1.242,0.123,0.153,50.0
'2022/8/11/9:22:0',1.242,0.125,0.155,50.0
'2022/8/11/9:22:1',1.242,0.125,0.155,50.0
'2022/8/11/9:22:2',1.242,0.123,0.153,50.0
'2022/8/11/9:22:3',1.242,0.124,0.154,50.0
'2022/8/11/9:22:4',1.242,0.124,0.154,50.0
'2022/8/11/9:22:5',1.242,0.124,0.154,50.0
'2022/8/11/9:22:6',1.242,0.124,0.154,50.0
'2022/8/11/9:22:7',1.244,0.124,0.154,50.0
'2022/8/11/9:22:8',1.242,0.124,0.154,50.0
'2022/8/11/9:22:9',1.242,0.124,0.154,50.0
'2022/8/11/9:22:10',1.242,0.124,0.154,50.0
'2022/8/11/9:22:11',1.242,0.126,0.156,50.0
'2022/8/11/9:22:12',1.242,0.124,0.154,50.0
'2022/8/11/9:22:13',1.241,0.125,0.155,100.0
'2022/8/11/9:22:15',1.242,0.124,0.154,150.0
'2022/8/11/9:22:16',1.242,0.124,0.154,100.0
'2022/8/11/9:22:17',1.241,0.124,0.154,50.0
'2022/8/11/9:22:18',1.244,0.125,0.155,0.0
'2022/8/11/9:22:19',1.242,0.124,0.154,50.0
'2022/8/11/9:22:20',1.241,0.124,0.154,50.0
'2022/8/11/9:22:21',1.242,0.124,0.154,50.0
'2022/8/11/9:22:22',1.242,0.125,0.155,50.0
'2022/8/11/9:22:23',1.242,0.125,0.155,50.0
'2022/8/11/9:22:24',1.244,0.125,0.155,50.0
'2022/8/11/9:22:25',1.242,0.124,0.154,0.0
'2022/8/11/9:22:26',1.241,0.124,0.154,50.0
'2022/8/11/9:22:27',1.242,0.124,0.154,50.0
'2022/8/11/9:22:28',1.241,0.123,0.153,0.0
'2022/8/11/9:22:29',1.241,0.123,0.153,50.0
'2022/8/11/9:22:30',1.242,0.124,0.154,0.0
'2022/8/11/9:22:31',1.241,0.124,0.154,50.0
'2022/8/11/9:22:32',1.240,0.124,0.154,50.0
'2022/8/11/9:22:33',1.242,0.124,0.154,50.0
'2022/8/11/9:22:34',1.241,0.125,0.155,100.0
'2022/8/11/9:22:35',1.241,0.124,0.154,50.0
'2022/8/11/9:22:36',1.242,0.124,0.154,50.0
'2022/8/11/9:22:38',1.241,0.125,0.155,100.0
'2022/8/11/9:22:39',1.241,0.123,0.153,50.0
'2022/8/11/9:22:40',1.241,0.124,0.154,50.0
'2022/8/11/9:22:41',1.241,0.125,0.155,50.0
'2022/8/11/9:22:42',1.241,0.124,0.154,50.0
'2022/8/11/9:22:43',1.242,0.123,0.153,100.0
'2022/8/11/9:22:44',1.241,0.123,0.153,50.0
'2022/8/11/9:22:45',1.241,0.124,0.154,50.0
'2022/8/11/9:22:46',1.242,0.124,0.154,50.0
'2022/8/11/9:22:47',1.240,0.123,0.153,0.0
'2022/8/11/9:22:48',1.241,0.126,0.156,50.0
'2022/8/11/9:22:49',1.242,0.121,0.150,100.0
'2022/8/11/9:22:50',1.241,0.124,0.154,150.0
'2022/8/11/9:22:51',1.242,0.124,0.154,100.0
'2022/8/11/9:22:52',1.240,0.123,0.153,50.0
'2022/8/11/9:22:53',1.241,0.124,0.154,0.0
'2022/8/11/9:22:54',1.241,0.123,0.153,50.0
'2022/8/11/9:22:55',1.241,0.125,0.155,50.0
